TYPE,APT,RWY,PRO,RTE
###本文件系2511导航数据，若需更新导航数据版本请自行更新，格式不变
STAR,ZBAA,36R,DUGE5D,DUGEB AA126 AA125 AA122 AA492 CI36R FI3RZ
STAR,ZBAA,36R,DUMA9ZxILSY,DUMAP AA147 AA146 AA145 AA144 AA143 AA142 AA141 AA492 CI36R FI3RY
STAR,ZBAA,36R,GUVB7XxILSY,GUVBA AA168 AA167 AA166 AA165 AA142 AA141 AA492 CI36R FI3RY
STAR,ZBAA,36R,GUVB9Y,GUVBA AA128 AA127 AA123 AA492 CI36R FI3RZ
STAR,ZBAA,36R,OSUB7XxILSY,OSUBA AA169 AA166 AA165 AA142 AA141 AA492 CI36R FI3RY
SID,ZBAD,35R,RV,ZBAD
SID,ZBAD,35L,RV,ZBAD
SID,ZBAD,29R,RV,ZBAD
SID,ZBAD,19R,RV,ZBAD
SID,ZBAD,17R,RV,ZBAD
SID,ZBAD,17L,RV,ZBAD
SID,ZBAD,11L,RV,ZBAD
SID,ZBAD,01L,RV,ZBAD
STAR,ZBAD,35R,RV,ZBAD
STAR,ZBAD,35L,RV,ZBAD
STAR,ZBAD,29R,RV,ZBAD
STAR,ZBAD,19R,RV,ZBAD
STAR,ZBAD,17R,RV,ZBAD
STAR,ZBAD,17L,RV,ZBAD
STAR,ZBAD,11L,RV,ZBAD
STAR,ZBAD,01L,RV,ZBAD
SID,ZBAD,01L,BOTP1K,AD607 AD531 AD551 AD552 AD553 AD558 BOTPU
SID,ZBAD,01L,DOTR4M,AD607 AD531 AD554 AD555 AD556 DOTRA
SID,ZBAD,01L,DOTR6K,AD607 AD531 AD532 AD533 AD512 AD513 AD514 AD515 AD516 DOTRA
SID,ZBAD,01L,ELKU4K,AD607 AD531 AD532 AD533 AD534 AD535 AD536 AD539 ELKUR
SID,ZBAD,01L,IDKE4M,AD607 AD531 AD554 AD555 AD556 IDKEX
SID,ZBAD,01L,IDKE6K,AD607 AD531 AD532 AD533 AD512 AD513 AD514 AD515 AD516 IDKEX
SID,ZBAD,01L,IGMO4K,AD607 AD531 AD532 AD533 AD534 AD535 AD536 AD537 AD538 IGMOR
SID,ZBAD,01L,MUGL4K,AD607 AD531 AD532 AD533 AD534 AD535 AD536 AD537 AD538 MUGLO
SID,ZBAD,01L,OMDE6K,AD607 AD531 AD551 AD552 AD553 AD575 AD576 AD577 OMDEK
SID,ZBAD,01L,PEGS6K,AD607 AD531 AD551 AD552 AD553 AD575 AD576 AD577 PEGSO
SID,ZBAD,01L,RUSD5K,AD607 AD531 AD551 AD552 AD553 AD558 RUSDO
SID,ZBAD,11L,BOTP8M,AD511 AD512 AD513 AD514 AD515 AD518 AD519 BOTPU
SID,ZBAD,11L,DOTR6K,AD511 AD512 AD513 AD514 AD515 AD516 DOTRA
SID,ZBAD,11L,ELKU4K,AD511 AD534 AD535 AD536 AD539 ELKUR
SID,ZBAD,11L,IDKE6K,AD511 AD512 AD513 AD514 AD515 AD516 IDKEX
SID,ZBAD,11L,IGMO4K,AD511 AD534 AD535 AD536 AD537 AD538 IGMOR
SID,ZBAD,11L,MUGL4K,AD511 AD534 AD535 AD536 AD537 AD538 MUGLO
SID,ZBAD,11L,OMDE8M,AD511 AD534 AD535 AD536 AD539 ELKUR OMDEK
SID,ZBAD,11L,PEGS8M,AD511 AD534 AD535 AD536 AD539 ELKUR OMDEK PEGSO
SID,ZBAD,11L,RUSD8M,AD511 AD512 AD513 AD514 AD515 AD518 AD519 RUSDO
SID,ZBAD,17L,BOTP5L,AD450 AD451 AD472 AD473 AD558 BOTPU
SID,ZBAD,17L,DOTR6K,AD450 AD451 AD456 AD431 AD512 AD513 AD514 AD515 AD516 DOTRA
SID,ZBAD,17L,ELKU4K,AD450 AD451 AD456 AD535 AD536 AD539 ELKUR
SID,ZBAD,17L,IDKE6K,AD450 AD451 AD456 AD431 AD512 AD513 AD514 AD515 AD516 IDKEX
SID,ZBAD,17L,IGMO4K,AD450 AD451 AD456 AD535 AD536 AD537 AD538 IGMOR
SID,ZBAD,17L,MUGL4K,AD450 AD451 AD456 AD535 AD536 AD537 AD538 MUGLO
SID,ZBAD,17L,OMDE7F,AD450 AD451 AD452 AD453 OMDEK
SID,ZBAD,17L,PEGS7F,AD450 AD451 AD472 AD473 PEGSO
SID,ZBAD,17L,RUSD7Q,AD450 AD451 AD472 AD473 AD558 RUSDO
SID,ZBAD,17R,BOTP5L,AD470 AD471 AD472 AD473 AD558 BOTPU
SID,ZBAD,17R,DOTR6K,AD470 AD471 AD456 AD431 AD512 AD513 AD514 AD515 AD516 DOTRA
SID,ZBAD,17R,ELKU4K,AD470 AD471 AD456 AD535 AD536 AD539 ELKUR
SID,ZBAD,17R,IDKE6K,AD470 AD471 AD456 AD431 AD512 AD513 AD514 AD515 AD516 IDKEX
SID,ZBAD,17R,IGMO4K,AD470 AD471 AD456 AD535 AD536 AD537 AD538 IGMOR
SID,ZBAD,17R,MUGL4K,AD470 AD471 AD456 AD535 AD536 AD537 AD538 MUGLO
SID,ZBAD,17R,OMDE7F,AD470 AD471 AD474 AD453 OMDEK
SID,ZBAD,17R,PEGS7F,AD470 AD471 AD472 AD473 PEGSO
